question,A,B,C,D,correct
"They broadcast an announcement, but a subway came into the station and I couldn’t",hear over it.,jump on it.,get into it.,get out of the subway.,A
A child stands in the tire swing and jumps for joy. An adult,is running with a baby in a swing.,gets up and pulls both tires.,walks out on the left side of the slide.,walks through the angel holding a stick in his hand while shaking hands with a couple.,B
Elephants are more dangerous than lions. They can,pounce on you.,swim very fast.,trample you.,bite and kill you with sharp teeth.,C
A dog runs across a field as a frisbee flies through the air. The frisbee,flies past him.,makes loud sounds.,leaps through the air and catches the frisbee in its mouth.,turns the light on.,A
A dog walks into a lecture hall. It,gives a lecture.,teaches the class.,lies in the front.,speaks into a microphone.,C
Jerry managed to revive the injured driver with cardiac massage. The driver,continued driving to hospital.,enjoyed the massage because it was relaxing and healthy.,hurt the people and he was sent to the police office.,was sent to the hospital.,D
A man in red and white runs down a track and performs a high jump. The camera,is lowered and covered by a hand.,follows the athlete.,goes to the table and lands in time.,sprints down the track.,B
The toy rolled off the shelf because it wasn’t,level,partial,an elephant,biased,A
Rose is on a wilderness expedition when she sees an alligator in the lake. She,screams and runs.,moves slowly along the surface of the water.,is green and reptilian.,is looking for prey.,A
John is my father and Kate is my mother. Kate is now married to my step-father Bob. Bob is Kate's,ex-husband,friend,husband,father,C
Cathy said that the hotel room was sketchy. This caused Caitlyn to,wonder about her marriage.,instantly die.,draw a picture of the room.,stay somewhere else instead.,D
Coding of Amit is better than that of Sam. Sam,is worse at coding than Amit.,likes to code more than Amit.,is a dog.,is better at coding than Amit.,A
The teacher is giving a lecture. The lecture,engages the students.,is eating his breakfast.,is teaching the teacher.,loves to teach the students.,A
Bob thinks Sachin is not the best batsman in the world. He,hates cricket.,thinks there are better chess players.,thinks there aren't any better batsmen.,thinks there are better batsmen.,D
Mary is studying and Steve is cooking. Mary,dices onions on the cutting board.,is learning about integrals.,is a housewife.,makes tomato soup.,B
Ashley walks her dog around her neighborhood. She,then goes to the park,wags her tail,then laps up water from the faucet,catches the frisbee in her mouth,A
The husband goes to work everyday while the wife is unemployed. The wife,stayed home to cook meals.,went to work.,supported the family with her salary.,enjoyed the health benefits of employment.,A
A baby is crying. His mother,is appeasing him,is crying,likes him,is his mother,A
The captain yelled at the soldier. And the soldier trembled because the soldier was really,stupid,dumb,scared,trembling,C
Joe's dog kicked the bucket. Joe,instantly died.,cried himself to sleep.,took the bucket away.,was sad that his pet had died.,D
Christine walks her dog in the rain without an umbrella or coat. The dog,likes the rain,is happy to be walking,is holding the umbrella and coat,is probably wet,D
Bobby decides to help the pirate defeat the ninja. Bobby,fights the pirate and helps the ninja,provides support by wearing an eyepatch,turns into a box,wakes up and realizes he's not in 2005,B
Cities are better than small towns. They are better because,they have more farms.,they are smaller than towns.,they are busier.,they can read minds.,C
A man was walking his dog on the beach. His dog,dove into the water and caught mermaids for him.,ran far away from him chasing a seagull.,flew a kite on the beach.,dug a tunnel on beach connecting to a secret island,B
She hired a lawyer who specializes in divorce cases. The lawyer,would help her with her property.,would marry her after his divorce.,wanted to divorce her because she was so neurotic.,specialized in hiring her as a lawyer.,A
The man and the woman had two very different jobs. While,"she worked in government, he worked at a tech startup.","she worked at a sandwich shop, he worked at the same sandwich shop.","he worked at an office supplies store, she was his manager.","he worked as a software developer, she was his supervisor.",A
He left the bread in the fridge too long. So it became,really delicious.,really dry.,really moist.,really hot.,B
The man is blow drying his cat. The cat,"tried to cut her face, so she is trying to do something very close to her face.",washes her face with the shampoo.,walks into frame and walks towards the dog.,is sitting quietly and observing the man.,D
A young girl is standing in a neon wet suit on a boat preparing to jump off. The camera pans to the rest of the people on the boat and the girl finally,listens to music.,holds breath in anticipation.,sits back down.,dives into the water. X,B
"In carpentry, a hammer is more useful than cloth. This is because it can",run slower.,clean surfaces better.,be used with nails.,run faster.,C
Sally was concerned about John's state of mind after he,cut off all of his fingers.,obeyed traffic signals while driving.,completed his degree in psychology.,purchased flowers at the store.,A
Alice is going for a run. John is cooking. She,reads the newspaper.,puts on her gym shorts.,starts the soup.,cuts the vegetables.,B
I run into my physical therapist at a cafe. My physical therapist,is giving a session.,gives me an injury.,is my patient.,is getting coffee.,D
"Unlike my friend, I am sick today. My friend",is out partying.,is also sick.,is bringing me soup.,is taking medicine.,C
He is like a sheep. He is,smart.,lazy.,gullible.,funny.,C
They described Tommy as a Monday Morning Quarterback. Tommy,often criticized others from a position in hindsight,played on a football team on Mondays,was a quarterback but played only on Mondays,was a huge guy who could be a quarterback,A
Phil really wanted to get into a fight. He,didn't enjoy riding his bicycle.,had a chip on his shoulder.,crashed his car into a bridge.,instantly died.,B
Sally knew she shouldn't put all eggs in one basket and applied to multiple jobs. Sally,went to the grocery store to buy some chicken.,cooked an omelete for breakfast.,put many chickens inside bags.,was being cautious and wanted to give herself the most opportunities.,D
Sarah had a bee in her bonnet. Sarah,was extremely happy.,was frustrated a bee got caught in her hair.,swatted away the bee from her head.,was very upset.,D
"My friend started driving his car while wearing a hat with the words ""the influence"" on it. He","got pulled over by the police for driving under ""the influence"".",made it home on time.,suddenly had his car stolen by the FBI.,turned his car into a giant robot.,B
"After cheating on his spelling test, Johnny just got a slap on the wrist. Johnny",had a very mild punishment.,had a bleeding wrist.,had to see the nurse.,was great at spelling.,A
I have a paper thin blanket over me. It,is not too warm.,feels extremely warm.,makes me some hot chocolate.,holds paper.,A
Today I ate an apple. I,borrowed the apple from my friend. I will return it to him after I eat it.,put it into a machine and it gave me an apple pie.,grew it overnight on my farm.,need to eat healthy to stay in shape.,D
How she spent her money was a hot potato. It,was hot to touch,was eaten quickly,was a potato that was hot that she bought,was discussed often,D
Sally was on cloud nine after winning the competition. Sally,flew up high in the sky.,was sad.,was very happy.,had to train harder for the next competition.,C
Kelly and Sam hit if off. Kelly,is in great pain.,seems very happy.,covers her ears.,wishes a new phone for b day gift.,B
"Kelly's friend could not help her, saying her hands are tied. Kelly",unties her hands.,washes her car window.,plays with her dog.,replies that she understands and thanks her anyway.,D
"Jim says ""it's raining cats and dogs!"" Jim",is concerned the cats and dogs will get wounded.,takes the cats and dogs to the animal shelter.,grabs his umbrella.,tries to save the cats and dogs.,C
John let the cat out of the bag. John,revealed his secret,wanted the cat to go outside,released the cat from the bag it was hiding in,took the cat out of its cage,A
Somebody tipped Kelly off. She,sat in the chair and waited.,fell on the ground.,thanked that person.,thought it was a good tip.,C
The laptop falls from the floor and there is a pillow below. The owner,catches a break.,catches a crack.,catches a fever.,catches a potato.,A
Joseph beat around the bush when confronting his sister. Joseph,was doing yard work.,was avoiding saying what he meant.,spoke his mind.,was planting a tree.,B
"The doctors needed to put the horse out before its surgery. Thus,",they gave it a frisbee.,they gave it horse.,they gave it tranquilizer.,they gave it horse doctor.,C
a person jumps on the bandwagon. The person,picks the hottest field to study,then jumps off,breaks their foot,goes for a ride,A
Kelly is trying to fix Gigi and Tyler up. She,invited both of them to dinner.,is a technician.,called a plumber.,is great at fixing appliances.,A
When her friend flaked on her for the third time. She decided enough was enough and,tell her friend how excited she was to get flaked on.,schedule another time to be flaked on.,decide to flake on her last week instead.,go to the event by herself.,D
"Steve, came to work in a bad mood and started an argument with his boss' boss. Steve,","cop, steve, boss, and work.",catches the frisbee.,opened a can of worms.,"boss, steve, and boss.",C
Austin was preparing to take a very difficult English test. He,took up knitting.,decided to hit the books.,veered left into the passing lane.,hated doing math.,B
"John and Jack were talking about Adam. And speak of the devil,",they spoke in the devil's tongue,the devil approached them,Adam appeared,the devil spoke,C
Jill started a storm in a teacup with Jeff. Jill,made a big deal about a small problem.,made tea for Jeff.,ran away from the storm outside.,stormed off with a cup of tea.,A
Phil spilled the beans at work and now everyone knew the rumors were true. Phil,ate the seeds on a plant.,gave away a secret.,poured pinto beans on the floor.,order a burrito with black beans.,B
Cutting corners isn't going to work. Expect,a cut.,to get those two points,a bad grade,a thank you note.,C
Don't assume all of my advice is true. You should take it with a grain of salt and,assume my advice is correct,research more about it,not learn more about it,jump to a conclusion,B
I was fired tonight and my wife dumped me. I'm looking for,my running shoes.,a new fur coat.,a shoulder to cry on.,two peas in a pod.,C
I was intensely playing basketball in the park so,I was sweating tree sap.,I was sweating blood.,I was sweating iron filings.,I was sweating bullets.,D
"Steve and his friends got pulled over by a cop and Steve lights a joint in front of the cop. Steve,",cop the joint.,sprints forward.,opened a can of worms.,"got pulled over, friends, cop.",C
A person keeps beating a dead horse. The person,uses a bat to do the deed,is getting annoying,is a cruel sadistic individual,would not let a bad idea go,D
The boy started to feel very sleepy. He told his mom that,he needed a new shirt.,he was going to play with the dog.,he was going to make some pasta.,he was going to hit the hay.,D
A computer drops from the table but lands safely. The owner,catches fire.,catches a breather.,catches a computer.,catches the floor.,B
The man was about to win a big hand after being on a losing streak. He,threw the dice as hard as he could.,asked the dealer to do a backflip.,ate his shirt.,would win just enough to break even.,D
Tom was making a mountain out of a molehill regarding a small argument. Tom,was arguing about a large hill on his lawn.,was staying calm about an argument.,was turning an unimportant argument into a big deal.,hated moles in the hill he lives next to.,C
Kelly is extremely nervous. Her friend,"tells her ""Don't be a chicken.""",stares at her.,pushes her into the rain.,dances with her.,A
Dave wanted to quit smoking cold turkey. His first step was to,throw out his cigarettes.,put the turkey in the oven.,put the turkey in the fridge.,get a blanket.,A
Tom Brady is as cool as a cucumber in the playoffs. He will likely,freak out this year,put on a jacket,go eat soon,operate similarly this year,D
"Sam was told to take out the garbage, but it slipped his mind. Sam",slipped and fell when taking out the garbage.,remembered to take out the garbage.,forgot to take out the garbage.,slipped on his brain about the garbage.,C
He pulled some strings and managed to get us front row seats for the concert. He,really knows his strings.,loves his dog.,is very strong.,is a capable man.,D
Don’t put all of your eggs in one basket. You,need to have more eggs on your basket.,cannot afford the risks.,will not eat delicious eggs.,can put the basket along with eggs.,B
Alex would often play devil's advocate. He,argued the opposite side of many arguments.,took up knitting.,was a serial killer.,thought that Satan was correct about a lot of things.,A
Jace held his tongue in this situation. Jace,thought it was heavy,didn't want to say something bad,lifted his tongue with his hand,put his tongue between his fingers,B
I made a mess while cooking. My mom says you can't make an omelet without,lighting the house on fire.,getting annoyed or angry.,messing up the recipe.,breaking a few eggs.,D
The group was acting fishy. They,tried to run past the police.,ate fish at the fishery.,fished for compliments.,swam with fish.,A
Sam was drawing a blank on the test. Sam,loved drawing blank lines on tests.,thought the test was too easy.,was failing to answer the test questions.,was too busy drawing to take the test.,C
Ben thought the joke was a real knee-slapper. He,hit his knee very hard.,instantly died.,laughed uproariously at it.,cried himself to sleep each night.,C
The final project was a piece of cake. The project,was really sweet.,was really easy.,was a great way to end my birthday.,had a lot of frosting.,B
Jeff and Sally were like two peas in a pod. They,ate vegetables.,loved the color green.,grew organic fruits.,were always together.,D
The girl is as slow as a sloth. She,takes a long time to run the mile.,lives in the jungle.,eats leaves.,runs like a cheetah.,A
Tom gave Sam the cold shoulder. Tom,wanted Sam to warm his shoulder.,complained about his shoulder temperature to Sam.,ignored Sam.,spent all his time with Sam.,C
The man was embarrassed when he said something cheesy about his friends. He said that they,always bought gouda,were the wind beneath his wings.,were worth a cheese wheel,were all cheddar,B
"The police demanded Ellen spill the beans, so she",told the truth.,prepared their favorite beans.,became a criminal.,began to cook.,A
"During our last few romantic dinners, my wife and I could not stop arguing. I",asked my fairy godparents to rewind time so I could try again.,took it to mean that the flame would never be rekindled.,decided to tell her about my being born on Venus.,ended up stealing her dog.,B
"Joe was in trouble, but he was saved by the bell. Joe",instantly died.,began to write his autobiography.,was relieved that he barely escaped trouble.,thanked the bell for its help.,C
Sam was a night owl. Sam,is known to be a wise owl.,stayed up late everyday.,was the apex predator of the forest at night.,was keen on catching his prey.,B
Joe was extremely rich. He,ate nothing but porridge for 3 meals a day.,cried himself to sleep each night.,leaped through the air and caught a frisbee in his mouth.,lived high on the hog.,D
Her friends got everything on a silver platter. Her friends,made sure they got anything they wanted on a plate,received their meal on an elegant platter,didn't have to work for anything,got their dinner on a silver plate,C
Billie was a dead ringer to Millie. They,rang a bell together every day.,looked exactly alike.,instantly died.,leapt through the air and caught a frisbee in their mouths,B
"Sally asked Tom not to have a cow, but Tom",could not help but overreact.,desired nothing more than large mammals.,hates Sally.,needs cows in his life.,A
They were the apple of my eye. I had,go to the eye doctor.,eat more carrots because my mom told me it would improve my eyesight.,to tell them that in person.,to eat more fruit.,C
He usually comes up with counter-arguments even if he doesn't believe in them. He likes to,believe that he is a cool person.,play devil's advocate,take everyday walks,believe in god.,B
David asked if the phrase rang any bells. David,was ringing bells,asked if it was familiar,decided to make loud noises,thought the phrase was like a bell,B
Ted was on thin ice with his girlfriend. He,was worried one small movement would plunge them into the lake.,had been caught badmouthing her friends.,had thought ice skating would be a romantic date.,looked for a glass for the ice.,B
Jamie sighed and said that's just how the cookie crumbles. Jamie,told his friend about how cookies crumble,accepted his fate,described how the crumbs fell off the cookie.,discussed the physics of cookies,B
Carl bit off more than he could chew. He,had more food to eat,had some hot dog left,couldn't handle the issue,had finished his meal,C
He considered her to be the moon to his sun. He decided to,buy a rocket so that they could visit the moon.,stare directly into the sun.,ask her to move in with him.,become an astronaut so he could fly to the sun.,C
I scared my friend by suddenly tapping her on the shoulder. She,jumped out of her skin.,was like a bull in a china shop.,called the mafia.,threw me 600 feet away.,A
"John wanted to address the elephant in the room, but Sally",had no interest in talking.,had a fear of elephants.,worried about the possibility of a stampede.,did not like large mammals.,A
"I'm so jealous of the Joneses, but my wife keeps saying that the grass is always greener",when you water it properly and take care of it.,on the other side of the hill,when you don't live in Arizona.,when you steal your neighbors grass,B
Don't beat around the bush.,Hurt me,Be clear with me.,Lets go tree climbing,Don't eat the pizza.,B
I can't come to work today because,I love to work,I'm so happy,I'm feeling under the weather,I like my boss,C
"Todd heard it was supposed to rain cats and dogs, so he",kidnapped local children.,put on his galoshes.,volunteered at the local animal shelter.,decided to buy cat food and dog food.,B
A liar puts on his pants. They,are chinos.,are on fire.,wants to graduate in the spring.,are claustrophobic.,B
Sally knew she had bite off more than she can chew with the big project. Sally,realized she took on a project that she could not finish.,bought gum and was chewing on it.,was relieved and showed it with a big smile.,was eating a lot of food.,A
Jane was in the heat of the moment. Jane,was overwhelmed,was on fire,felt really hot,putting food in the oven,A
Antifax drives his numerous slaves to auction. Antifax,asks them if they would like some lemonade.,signals left to change lanes.,lives with the weight of the blood on his hands.,is very hungry.,C
Don't put all your eggs in one basket. You should,invest in bitcoin.,go shopping,eat more chicken.,diversify your equity.,D
We were beating around the bush. We,hurt the bush,were making music in the forest,didn't want to talk about it,hit each other around a tree,C
"The farmer drove his tractor across the field, refreshing the soil after all of the crops had been harvested. The farmer",steered clear of an area that he had already completed.,"reminisced for the olden days, in which the farm was operated by pilgrims and indigenous tribes in unison.","began to harvest the dirt, tasting the freshness of his new crops.","ate a cow, milked a bird, then jumped onto a donkey.",A
Sam and Tom don't see eye to eye. Sam,disagrees with Tom.,wants Tom to look into his eyes.,wants to be taller so he can look directly into Tom's eyes.,doesn't make eye contact with Tom.,A
"I might be small, but I have a big heart. I love to",help others,giant basketball,trucks,eat a lot of food,A
A man lost a bet to his friend. His friend,told him to pony up the cash.,met his birth mother.,gave him a high five.,was diagnosed with a terminal disease.,A
Jenny needed to kick her habits. Jenny,left the habits with a bruise,wanted to beat up her habits,assaulted her habits,had some nervous ticks to get over,D
Molly couldn't make sense of the document she was reading. The document,was all Greek to her.,contained a recipe for instant coffee.,instantly killed her.,was completely easy to understand.,A
Monica couldn't wrap her head around calculus. She,couldn't package her brain inside a textbook.,didn't understand math.,was good with numbers.,covered her head with a towel.,B
Jill had her head in the clouds while taking the test. Jill,was focused on the test.,watched the movie Cloudy with a Chance of Meatballs.,flew an airplane in the sky.,was not concentrating on the test.,D
John was 8 feet tall and that made it difficult to walk into rooms but it was a blessing in disguise. John,got bullied and had no friends.,was able to reach high objects.,hit his head all the time and got hurt.,had trouble talking to people.,B
John wouldn't be caught dead doing that. He,would be caught alive,be caught in a trap,hates that stuff,would be killed,C
Jim is tired and wants to call it a day. He decides to,go to Florida,go to work,go home,exercise,C
Books like this are a dime a dozen. These books,have very rich authors,sell really well.,are very common.,are worth a lot of money.,C
"Time flies like an arrow. So, you",should make every moment count.,should work on the lyrics.,should shoot a bullet instead.,should let the dog out.,A
Janet was feeling under the weather and didn't go to work today. Janet,was enjoying a sunny day outside.,was getting sick.,was painting the night sky.,was below the clouds in the sky.,B
"He likes to burn midnight oil, he",is in good health.,is afraid of dark.,often thinks about his childhood.,doesn't need much time to sleep.,D
Tom was crying crocodile tears when his parents yelled at him. Tom,was shedding genuine tears.,was extremely upset.,was crying because he hates getting yelled at.,was faking his tears.,D
"After learning that a curveball was the batter's Achilles' heel, the pitcher","named his dog ""Curveball.""",decided to visit Greece.,played baseball every day for the rest of his life.,decided to only throw that pitch.,D
Matt decided to get groceries on the way back from his other errands. Matt,killed two birds with one stone.,is very hungry.,likes fruit.,slew the god-emperor.,A
"After hearing that his father had kicked the bucket, Martin",fantasized about joining a marching band.,asked his father not to kick things.,felt sad.,chose to clean up the bucket.,C
Kevin knew he needed to hang in there if he was going to make something of himself. Kevin,was in the shore buying hangars.,hung out with his friends instead of working.,was hanging his clothes.,knew he couldn't give up.,D
The wheels of justice turned slowly for him. He had,tell the police how insanely happy he was that they had spent two slow months investigating what should have been an easy case.,to wait for two months until he could proceed further.,talk to his lawyer about his new shiny wheels two months later.,ride his car into the justice department building two months later.,B
Kelly has a sweet tooth.,She pick up her phone and talks to a friend.,She's bad at maths.,She loves candies so much.,She draws a candy shop.,C
Rose's father kicked the bucket last month. He,is in a better place now.,should have kicked a soccer ball instead.,feels pain in his foot.,spilled the water everywhere.,A
My chemistry teacher was all bark and no bite. My teacher,made a lot of threats but never really followed up on anything.,ate my homework.,really liked dogs.,like walks in the park.,A
Kevin kept an eye on the oven. Kevin,placed his eye on top of the oven,Left his eyeball on the oven,kept watch of the food in the oven,just kept staring at the oven,C
John told Sam that the ball was in his court. Sam,shot the ball into the hoop.,thought for a second and then made the decision.,drove into the paint.,passed to John.,B
A programmer sits silently. He is,bottling up ginger.,an anger.,bottling up his anger.,a water bottle.,C
"After smoking the whole bowl, Leanna was as high as a kite. Leanna",was incredibly intoxicated.,liked flying kites.,in a plane.,got her kite stuck in a tree.,A
Kareem Hunt is in hot water. His career is,wet,great,starting,over,D
I was feeling tired and sleepy. I,took cold pills,went to see a counselor,bought care tires,decided to hit the sack,D
John took her advice with a grain of salt considering she was also a new employee. John,tried to find other spices in his house.,didn't take her so seriously.,seasoned his meal with salt.,believed every word.,B
Phil just couldn't cut the mustard on the football team. He,took up knitting.,didn't perform adequately.,died instantly.,had a hard time slicing into the condiment.,B
Bill decided to hit the sack for the night. Bill,was punching a bag of potatoes.,was going to bed.,was milling flour for his bread.,was throwing out the trash.,B
He wolfed down the entire chicken nugget and almost growled in appreciation. He then,marked his territory on the forest floor because he was full of chicken nuggets.,ate an entire chicken whole.,joined a wolf pack to share the chicken nuggets.,saved the rest for later to give to his coworker who wasn't hungry when he asked earlier.,D
Dan was a sitting duck in this scenario. Dan,was a duck that was sitting,decided to become a duck and sit on the ground,quacked sometimes,was in danger,D
A girl keeps on pulling my leg. The girl,then tries to pull my arm,then pulls my other leg,needs to learn how to be honest,wants to play,C
Kelly whipped out her card. She,was making a cake.,was riding a horse.,paid her bill.,loves whipped cream.,C
Judy went the whole nine yards. She,did everything and more for the job,moved nine yards,ran all nine of the yards,scored a touchdown,A
Sally gave Monica the cold shoulder after she made fun of her last week. Sally,ignored Monica.,was cold and covered her shoulders to keep herself warm.,hung out with Monica.,had fun with Monica.,A
Your best friends and you usually see,eye to eye,the worst in people,the best in people,god together,A
Ted was on cloud nine after his date. He,had climbed a very long ladder to get this high.,had not been this happy in a very long time.,was on a flight back home to Vermont.,did not like the other eight clouds.,B
I made the long story short so i left out the,time,details,important parts,entire story,B
John ran like the wind during the race. John,walked during the race.,blew bubbles.,ran slow.,ran fast.,D
She was drowning in a sea of frustration. To help the situation she,dived deeper into the pool.,tried to swim out of the ocean.,called a friend on the phone,drank some water,C
Most march madness games come down to the wire. So,they are stupid,they are hard to predict,they are easy to predict,they are a waste of time,B
"For the date, both of them decided to go Dutch. They",became Dutch,wanted to learn the Dutch language,Were from the Netherlands,paid for their own meals,D
Susan declared that this was the last straw. She,was going to use it to drink,held the straw,had one straw left,Fed up with the situation,D
Kelly is about to get on stage and perform.,"Her friend says ""Break a leg!""",Her friend calls.,She's grounded for coming home late last night.,She walks in circles.,A
Books like this are a dime a dozen. They,are worth a lot of money.,sell really well.,have very rich authors.,are not written very well.,D
The friend decides to break the ice with a stranger. he,starts smashing away at the ice with his new friend,takes a fork out and sits down at a table,gets his ice pick ready,asks him about his hobbies,D
Ted was born with a silver spoon in his mouth. He,always got what he wanted when he grew up.,had a hard time eating his food.,was a medical oddity.,ended up tasting silver every time he ate.,A
Ted needed to blow off some steam. He,was getting a lot of compliments on his tie.,had eaten a very spicy pepper.,was served a hot green tea.,was very angry at his friends for leaving him out.,D
Sam was fit as a fiddle after his doctor visit. Sam,went to the gym to play his fiddle.,was learning to play an instrument.,was getting sick.,was in good health.,D
"In the heat of the moment, he unfortunately",decided to go to Florida,made the wrong decision,went to sun,felt very good,B
It is raining cats and dogs outside. The weather is,rainy,foggy,cloudy,sunny,A
The photographer went into the city to investigate the style of the average Joe. The photographer,"was surprised to realize that, once she arrived, none of her equipment was in her car.",finally took her daughter ice skating in Central Park a few weeks prior.,met Joe in the city and painted his picture.,"plopped down on the couch to watch her favorite shows, Sex in the City and True Detective.",A
"Time heals all wounds, so even if you get hurt by others, you will eventually",forget all the unhappy memories.,be healthy again.,remember all wounds.,have a intact body.,A
Sam said the test was a piece of cake. Sam,thought the test was easy.,ate some chocolate cake for the test.,found it strange the test was vanilla cake.,found the test very difficult.,A
John wanted to buy the new car but it costed an arm and a leg. John,cut off his arm and leg.,bought body parts.,couldn't afford the car.,decided to go for a run.,C
It's my birthday but I have homework. It's okay though because the problem set is,in the mood for a good time.,a timid cat.,full of ants.,a piece of cake. ,D
Dane decided to go hit the hay. Dane,punched the hay,was very upset with the hay,went to sleep,smashed hay at the barn,C
"Joe was taking a test, and he was really in a pickle. He",leaped through the air and caught a frisbee in his mouth.,was in a great deal of trouble.,climbed out of the pickled cucumber.,went shopping.,B
Jen was feeling tired. She decided to,veer left into the passing lane.,catch a bad case of the flu.,hit the hay.,burst into flames.,C
"The store owner said ""this item will cost you an arm and a leg."" The store owner",had a large knife for chopping off arms and legs if anyone wanted the item.,was easily willing to give away the item.,was very keen on limbs for his human body part collection.,demanded a lot of money for the item.,D
Kelly's soup is here and she could not wait to dive in. She,is starving.,loves sunny weathers.,is at a swimming pool.,will take a shower.,A
Kelly spiced up her drink. She,squeezed some lemon juice.,smelled her drink.,is feeling hot.,went to India this holiday.,A
I always want the best of both worlds. I like to,find an optimal blend of ideas.,crush the bones of my enemies to dust beneath my heel.,think about world geography as it compares to another world's landscape.,eat both of them.,A
Extra credit helps to score an A. By working for extra credit I am trying to,gain extra weight.,pass with flying colors.,fail all my classes.,score a goal in soccer.,B
"My father says ""Its better late than never"". He",meant he needs me to be at home before I could meet him,wants me to be late to school,could never figure out how people could be so lazy.,sees everything in an optimistic point of view.,D
"John went inside to get his umbrella and boots. John,",thought it would rain cats and dogs.,loved getting rained on.,"boots, rain, and umbrella.",bought a new rain.,A
Bill knew he shouldn't burn bridges with his ex girlfriends. Bill,set bridges on fire.,cooked marshmallows during a camping trip.,continued to work on his relationships with them.,saw a car on fire under a freeway overpass.,C
Ted decided to jump on the bandwagon and start listening to Taylor Swift. He,did not want to be left out of what everyone else was doing.,wanted to start going faster.,crouched down to prepare to jump.,ran after the bandwagon.,A
"When Jake realized Sally was pulling his leg, he",demanded Sally let go of his leg.,became concerned Sally would pull his leg off.,became a terrorist.,stopped taking her seriously.,D
Jim stole Kelly's thunder during the presentation. Jim,took credit for something he didn't do.,was afraid of lightning.,shocked everyone by baking a cake.,zapped Kelly.,A
Today I learned money doesn't grow on trees. I,climb the tree.,wasted my money.,need to save my money.,bought more clothes.,C
Tom passed the class with flying colors. Tom,got an A+ in the class.,got lots of colors out of the class.,grew wings and flew away with rainbow colored sparks behind him.,flew by with many colors in the class.,A
The manager fired the cashier because he had sticky fingers. The cashier,stole a lot of money,had fingers that would stick to things,had eaten sticky food and it was gross,was just using some glue,A
This paper is full of bells and whistles. It,is fancy to look at.,is made of bronze.,can stand on its feet.,sounds good.,A
I have an axe to grind with Amanda. I,should show her my axe.,should sharpen my tools.,should try to resolve my conflict with her.,go to a tool shop.,C
"Zorblax, destroyer of worlds, has a local world he can destroy or a much bigger, more enticing world he only might be able to destroy if he tried. Zorblax thinks",that he is very hungry.,that he really likes worlds.,that a bird in hand is worth two in the bush.,that the price of real estate is too high.,C
Tom said the bonus scenes are just the icing on the cake for a great movie. Tom,loves icing on cake while watching movies.,would enjoy the movie without the bonus scenes.,likes his desert to have icing when watching his favorite movie.,hates movies without cake.,B
A man on a date did not want to pay for the entire meal. He,ordered a second entree.,asked for the dessert menu.,suggested to his date that they go dutch.,drank his entire glass of wine.,C
The roommate didn't do any cleaning and the place was a mess. His roommates,cleaned up after him,messed up the police,messed him up,refused the police,A
"I broke my leg, so I can not",eat.,run.,read.,sleep,B
"The boy likes reading, not writing. He",likes reading books.,wants to become a billionaire.,likes sleeping in the lab.,enjoys writing books.,A
Fertilizer will accelerate the growth of these tomato plants. Tomato,growth speed will not be slower.,will not take advantage of the fertilizer.,will make the fertilizer grow faster.,will not be fertilized.,A
"Today is Monday, this means that",today is not Monday.,yesterday was not Sunday.,tomorrow is not Tuesday.,today is not Tuesday.,D
"Josh doesn't like vegetarians. However, he probably still eats",out at restaurants.,vegetables from time to time.,ham and cheese sandwiches.,burgers on occasion.,B
My father doesn't like video games. He,doesn't like his friends.,yells at video games.,wants to be a video game designer.,doesn't like them.,D
The chicken cannot fly. It,flies.,spreads its wings and flies.,crosses the road.,tries to fly and succeeds.,C
Amit does not like the great gatsby. Amit,prefers songs.,does not like great gatsby.,Likes trees.,likes the amazing great gatsby.,B
My dad keeps bailing on taking me to the pool. I don't think he,knows how to swim.,is very reliable.,is wearing pants.,has a car.,A
The temperature in Chicago is very cold. The temperature,should be higher in winter,should be lower in summer,should not affect by season,is different in summer and winter,D
"The boy likes chemistry, not mathematics. He",enjoys mathematics.,likes to perform experiments in lab.,likes to solve math problems.,likes to derive equations.,B
"The price of the car is not insignificant, so the price of the car is",low,significant,normal,not significant,B
You want to drink at a party but aren't of age yet. You should,drink modestly,wait until you're of age,drink at the next party then,drink because you want to,B
Tony hates get up early and he loves stay up late. Tony,didn't go sleep until midnight,drink coke,loves video games,get up early,A
Tina can not cook. Tina,plans to cook a meal for her mother.,can cook.,cooks a big meal for her friends.,always goes to restaurants to have dinner.,D
Rose has ten apples. She,eats all of the bananas.,eats five of the apples and has four left.,throws all eight apples away.,gives two apples to each of her five children.,D
I couldn't believe that my son had let me down again. Especially after,the punishment he had received.,we all believed he couldn't do it.,the second coat of paint dried.,he will let me down again next time.,A
People in Australia are fond of cricket. They,watch it from the comfort of their palaces,would like Sachin to bat from their side,can't bowl in a straight line,have had great players like Ponting and Gilchrist,D
A mom takes her sons to a movie. They will most likely not see,a G-rated movie.,an R-rated movie.,a PG-rated movie.,a movie about superheroes.,B
"The boy likes programming, not art. He",like algorithm implementation.,enjoys art exhibition.,likes art history.,likes visiting art museums.,A
"Unlike Mayank, Amit is a great student. Mayank",is an awesome student.,is a bad student.,is a good student.,is the best student.,B
Many animals have been domestically trained for generations. Sea horses,swiftly cross the fields.,"have not, though.",are known to pull wagons.,can be trained to race.,B
"The boy loves Chinese food, not Indian food. He",likes eating Indian food with Indian friends.,likes Indian curry a lot.,orders Chinese food often.,eats a lot of Indian food.,C
